sampleName	originalIndex	GSE	samples	MajorType	Neurotransmitter	ShinyNames	CellTypes	PyramidalDeep	BroadTypes	Description	Age	Region	Platform	Method	Reference	PMID	RegionToChildren	RegionToParent	Normalize	Normalize2	Notes
GSM241912	1	GSE9566	GSM241912,GSM241914,GSM241926	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocytes	17	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	PAN/FACS	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241914	1	GSE9566	GSM241912,GSM241914,GSM241926	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocytes	17	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	PAN/FACS	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241926	1	GSE9566	GSM241912,GSM241914,GSM241926	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocytes	17	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	PAN/FACS	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241915	2	GSE9566	GSM241915,GSM241925	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocytes	17	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	PAN/FACS	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241925	2	GSE9566	GSM241915,GSM241925	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocytes	17	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	PAN/FACS	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM866327	3	GSE35338	GSM866327,GSM866328,GSM866329,GSM866330	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	33	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	FACS	Zamanian et al 2012	22553043	TRUE	TRUE	TRUE	TRUE	
GSM866328	3	GSE35338	GSM866327,GSM866328,GSM866329,GSM866330	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	33	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	FACS	Zamanian et al 2012	22553043	TRUE	TRUE	TRUE	TRUE	
GSM866329	3	GSE35338	GSM866327,GSM866328,GSM866329,GSM866330	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	33	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	FACS	Zamanian et al 2012	22553043	TRUE	TRUE	TRUE	TRUE	
GSM866330	3	GSE35338	GSM866327,GSM866328,GSM866329,GSM866330	Glia	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	Astrocyte	33	Cortex,Cerebrum,Thalamus,Brainstem,SpinalCord,Subependymal	GPL1261	FACS	Zamanian et al 2012	22553043	TRUE	TRUE	TRUE	TRUE	
GSM337861	4	GSE13379	GSM337861,GSM337862,GSM337863	Glia	Bergmann	Bergmann	Bergmann	Bergmann	Bergmann	Bergman Glia	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337862	4	GSE13379	GSM337861,GSM337862,GSM337863	Glia	Bergmann	Bergmann	Bergmann	Bergmann	Bergmann	Bergman Glia	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337863	4	GSE13379	GSM337861,GSM337862,GSM337863	Glia	Bergmann	Bergmann	Bergmann	Bergmann	Bergmann	Bergman Glia	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM465752	5	GSE18765	GSM465752,GSM465753	Glia	Ependymal	Ependymal	Ependymal	Ependymal	Ependymal	CD24+ (ependymal cell)	56	Subependymal	GPL1261	FACS	Beckervordersandforth et al 2010	21112568	TRUE	TRUE	TRUE	TRUE	
GSM465753	5	GSE18765	GSM465752,GSM465753	Glia	Ependymal	Ependymal	Ependymal	Ependymal	Ependymal	CD24+ (ependymal cell)	56	Subependymal	GPL1261	FACS	Beckervordersandforth et al 2010	21112568	TRUE	TRUE	TRUE	TRUE	
GSM741193	6	GSE29949	GSM741193,GSM741194,GSM741192	Glia	Microglia	Microglia	Microglia	Microglia	Microglia	Microglia	42	All,Cortex	GPL1261	FACS	Anandasabapathy et al., 2011	21788405	TRUE	TRUE	TRUE	TRUE	
GSM741194	6	GSE29949	GSM741193,GSM741194,GSM741192	Glia	Microglia	Microglia	Microglia	Microglia	Microglia	Microglia	42	All,Cortex	GPL1261	FACS	Anandasabapathy et al., 2011	21788405	TRUE	TRUE	TRUE	TRUE	
GSM741192	6	GSE29949	GSM741193,GSM741194,GSM741192	Glia	Microglia	Microglia	Microglia	Microglia	Microglia	Microglia	42	All,Cortex	GPL1261	FACS	Anandasabapathy et al., 2011	21788405	TRUE	TRUE	TRUE	TRUE	
GSM1176624	7	GSE48369	GSM1176624,GSM1176625,GSM1176626,GSM1176627,GSM1176628,GSM1176629	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Oligodendrocytes	66	Cerebellum	GPL1261	TRAP	Bellesi et al 2013	24005282	TRUE	TRUE	TRUE	TRUE	
GSM1176625	7	GSE48369	GSM1176624,GSM1176625,GSM1176626,GSM1176627,GSM1176628,GSM1176629	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Oligodendrocytes	66	Cerebellum	GPL1261	TRAP	Bellesi et al 2013	24005282	TRUE	TRUE	TRUE	TRUE	
GSM1176626	7	GSE48369	GSM1176624,GSM1176625,GSM1176626,GSM1176627,GSM1176628,GSM1176629	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Oligodendrocytes	66	Cerebellum	GPL1261	TRAP	Bellesi et al 2013	24005282	TRUE	TRUE	TRUE	TRUE	
GSM1176627	7	GSE48369	GSM1176624,GSM1176625,GSM1176626,GSM1176627,GSM1176628,GSM1176629	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Oligodendrocytes	66	Cerebellum	GPL1261	TRAP	Bellesi et al 2013	24005282	TRUE	TRUE	TRUE	TRUE	
GSM1176628	7	GSE48369	GSM1176624,GSM1176625,GSM1176626,GSM1176627,GSM1176628,GSM1176629	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Oligodendrocytes	66	Cerebellum	GPL1261	TRAP	Bellesi et al 2013	24005282	TRUE	TRUE	TRUE	TRUE	
GSM1176629	7	GSE48369	GSM1176624,GSM1176625,GSM1176626,GSM1176627,GSM1176628,GSM1176629	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Oligodendrocytes	66	Cerebellum	GPL1261	TRAP	Bellesi et al 2013	24005282	TRUE	TRUE	TRUE	TRUE	
GSM241890	8	GSE9566	GSM241890,GSM241893,GSM241894,GSM241918	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	17	Cortex,All	GPL1261	PAN	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241893	8	GSE9566	GSM241890,GSM241893,GSM241894,GSM241918	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	17	Cortex,All	GPL1261	PAN	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241894	8	GSE9566	GSM241890,GSM241893,GSM241894,GSM241918	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	17	Cortex,All	GPL1261	PAN	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM241918	8	GSE9566	GSM241890,GSM241893,GSM241894,GSM241918	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	17	Cortex,All	GPL1261	PAN	Cahoy et al., 2008	18171944	TRUE	TRUE	TRUE	TRUE	
GSM337841	9	GSE13379	GSM337841,GSM337842,GSM337843	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mixed Oligodendrocytes	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337842	9	GSE13379	GSM337841,GSM337842,GSM337843	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mixed Oligodendrocytes	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337843	9	GSE13379	GSM337841,GSM337842,GSM337843	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mixed Oligodendrocytes	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337844	10	GSE13379	GSM337844,GSM337845,GSM337846	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mixed Oligodendrocytes	Adult	Cortex,All	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	same as GSM1698237,GSM1698238,GSM1698239
GSM337845	10	GSE13379	GSM337844,GSM337845,GSM337846	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mixed Oligodendrocytes	Adult	Cortex,All	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	same as GSM1698237,GSM1698238,GSM1698239
GSM337846	10	GSE13379	GSM337844,GSM337845,GSM337846	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mixed Oligodendrocytes	Adult	Cortex,All	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	same as GSM1698237,GSM1698238,GSM1698239
GSM337796	11	GSE13379	GSM337796,GSM337797,GSM337798	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	Adult	Cerebellum	GPL1261	TRAP	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
